db_id,entry_id,orth,lang,rel_of,rel_type
form_d1e66,entry_cʼūtxal,cʼūtxal,os-x-iron,,
form_d1e69,entry_cʼūtxal,cʼotxali,os-x-digor,,
form_d2e66,entry_kʼuru,kʼuru,os-x-digor,,
form_d3e66,entry_tækkæ,tækkæ,os,,
form_d4e66,entry_gotʼosi,gotʼosi,os-x-iron,,
form_d5e66,entry_ændon,ændon,os,,
form_d6e66,entry_stæryn_1,stæryn,os,,
form_d7e66,entry_g0ybyn,g˳ybyn,os-x-iron,,
form_d7e69,entry_g0ybyn,gubun,os-x-digor,,
form_d8e66,entry_razy_2,razy,os-x-iron,,
form_d8e69,entry_razy_2,arazi,os-x-digor,,
form_d9e66,entry_tyxgænæg,tyxgænæg,os,,
form_d10e66,entry_znag,znag,os,,
form_d11e66,entry_kʼæmbyr,kʼæmbyr,os,,
form_d12e66,entry_æx,æx,os,,
form_d13e66,entry_ʒykki,ʒykki,os-x-iron,,
form_d14e66,entry_xūdīsæn,xūdīsæn,os,,
form_d15e66,entry_firton,firton,os-x-digor,,
form_d16e66,entry_inælar,inælar,os,,
form_d17e66,entry_byron,byron,os-x-iron,,
form_d17e69,entry_byron,burojnæ,os-x-digor,,
form_d18e66,entry_enceg,enceg,os-x-digor,,
form_d19e66,entry_xīstæjrag,xīstæjrag,os,,
form_d20e66,entry_k0yrd,k˳yrd,os-x-iron,,
form_d20e69,entry_k0yrd,kurd,os-x-digor,,
form_d21e66,entry_ærx,ærx,os-x-iron,,
form_d21e69,entry_ærx,ærxæ,os-x-digor,,
form_d22e66,entry_xsynyn,xsynyn,os,,
form_d23e66,entry_næwæʒ,næwæʒ,os-x-iron,,
form_d23e69,entry_næwæʒ,næwæʒæ,os-x-digor,,
form_d24e66,entry_qaqqænyn,qaqqænyn,os,,
form_d25e66,entry_xælwaræg,xælwaræg,os,,
form_d26e66,entry_zīldūǧ,zīldūǧ,os,,
form_d27e66,entry_wældaj,wældaj,os,,
form_d28e66,entry_syftær,syftær,os,,
form_d29e68,entry_læʒæg,læʒæg,os,,
form_d30e66,entry_æmbawun,æmbawun,os,,
form_d31e66,entry_qūg,qūg,os-x-iron,,
form_d31e69,entry_qūg,ǧog,os-x-digor,,
form_d32e66,entry_ivar,ivar,os,,
form_d33e66,entry_stʼælf,stʼælf,os,,
form_d34e66,entry_adli,adli,os-x-iron,,
form_d34e69,entry_adli,adili,os-x-digor,,
form_d35e66,entry_nyridægæn,nyridægæn,os-x-iron,,
form_d36e66,entry_7rdyston,ᵆrdyston,os-x-iron,,
form_d37e68,entry_razamynd,razamynd,os-x-iron,,
form_d37e71,entry_razamynd,razamund,os-x-digor,,
form_d38e66,entry_kūsart,kūsart,os-x-iron,,
form_d38e69,entry_kūsart,kosart,os-x-digor,,
form_d39e66,entry_izæd,izæd,os-x-digor,,
form_d40e66,entry_kærdbaʒæ,kærdbaʒæ,os-x-digor,,
form_d41e66,entry_caxæn,caxæn,os,,
form_d42e66,entry_mīzyn,mīzyn,os-x-iron,,
form_d42e68,entry_mīzyn,myzt,os-x-iron,form_d42e66,participle
form_d42e71,entry_mīzyn,mezun,os-x-digor,,
form_d42e73,entry_mīzyn,mizt,os-x-digor,form_d42e71,participle
form_d43e66,entry_kʼ0ybyr,kʼ˳ybyr,os-x-iron,,
form_d43e69,entry_kʼ0ybyr,kʼubur,os-x-digor,,
form_d44e66,entry_qom_2,qom,os-x-iron,,
form_d44e69,entry_qom_2,ǧon,os-x-digor,,
form_d44e71,entry_qom_2,ǧom,os-x-digor,form_d44e69,variant
form_d45e66,entry_-xor,-xor,os,,
form_d46e66,entry_dæsæm,dæsæm,os-x-iron,,
form_d46e69,entry_dæsæm,dæsæjmag,os-x-digor,,
form_d47e66,entry_qalaǧūr,qalaǧūr,os,,
form_d48e66,entry_alǧac,alǧac,os-x-iron,,
form_d48e68,entry_alǧac,alǧaw,os-x-iron,form_d48e66,variant
form_d48e71,entry_alǧac,alǧawinʒæ,os-x-digor,,
form_d48e73,entry_alǧac,ʒalǧawinʒæ,os-x-digor,form_d48e71,variant
form_d49e66,entry_tillæg,tillæg,os,,
form_d50e66,entry_mūsong,mūsong,os-x-iron,,
form_d51e66,entry_næryn,næryn,os-x-iron,,
form_d51e68,entry_næryn,nærd,os-x-iron,form_d51e66,participle
form_d51e71,entry_næryn,nærun,os-x-digor,,
form_d51e73,entry_næryn,nærd,os-x-digor,form_d51e71,participle
form_d52e66,entry_barz,barz,os,,
form_d53e66,entry_ʒybyr,ʒybyr,os,,
form_d54e66,entry_tæmæn_1,tæmæn,os,,
form_d55e66,entry_sabaj,sabaj,os,,
form_d56e66,entry_x0ydyrbūlkʼ,x˳ydyrbūlkʼ,os,,
form_d57e66,entry_kʼæʒīl,kʼæʒīl,os-x-iron,,
form_d57e69,entry_kʼæʒīl,kʼæʒelæ,os-x-digor,,
form_d58e66,entry_xosʒaw,xosʒaw,os,,
form_d59e66,entry_q0yran,q˳yran,os-x-iron,,
form_d59e69,entry_q0yran,quran,os-x-digor,,
form_d60e68,entry_porti,porti,os-x-iron,,
form_d60e70,entry_porti,purti,os-x-iron,form_d60e68,variant
form_d61e66,entry_bynʒar,bynʒar,os-x-iron,,
form_d61e69,entry_bynʒar,bunʒaræ,os-x-digor,,
form_d62e66,entry_kʼæbælʒyg,kʼæbælʒyg,os-x-iron,,
form_d62e69,entry_kʼæbælʒyg,kʼæbælʒug,os-x-digor,,
form_d63e66,entry_fæsʒæwīn,fæsʒæwīn,os-x-iron,,
form_d63e69,entry_fæsʒæwīn,fæsʒæwinæ,os-x-digor,,
form_d64e66,entry_fūtæg,fūtæg,os-x-iron,,
form_d64e69,entry_fūtæg,fotæg,os-x-digor,,
form_d65e66,entry_sakʼex,sakʼex,os,,
form_d66e66,entry_tona,tona,os,,
form_d67e66,entry_syly,syly,os,,
form_d68e66,entry_wæ,wæ,os,,
form_d69e66,entry_bynʒ,bynʒ,os-x-iron,,
form_d69e69,entry_bynʒ,binʒæ,os-x-digor,,
form_d70e66,entry_ræjyn,ræjyn,os-x-iron,,
form_d70e68,entry_ræjyn,ræjd,os-x-iron,form_d70e66,participle
form_d70e71,entry_ræjyn,ræjun,os-x-digor,,
form_d70e73,entry_ræjyn,ræjd,os-x-digor,form_d70e71,participle
form_d71e66,entry_osongæ,osongæ,os-x-digor,,
form_d72e68,entry_lædær,lædær,os-x-digor,,
form_d73e66,entry_wīlyn,wīlyn,os,,
form_d74e66,entry_fænd,fænd,os-x-iron,,
form_d74e69,entry_fænd,fændæ,os-x-digor,,
form_d75e66,entry_cʼoj,cʼoj,os-x-south,,
form_d76e66,entry_stajyn,stajyn,os,,
form_d77e66,entry_adæg,adæg,os-x-iron,,
form_d78e66,entry_sird,sird,os,,
form_d79e66,entry_fændiag,fændiag,os-x-iron,,
form_d79e69,entry_fændiag,fændæwagæ,os-x-digor,,
form_d80e66,entry_fonʒyssæʒy,fonʒyssæʒy,os-x-iron,,
form_d81e66,entry_net,net,os,,
form_d82e66,entry_qædtyx,qædtyx,os,,
form_d83e66,entry_xæræg,xæræg,os,,
form_d84e66,entry_wældemonæj,wældemonæj,os,,
form_d85e66,entry_g0yrko,g˳yrko,os-x-iron,,
form_d85e68,entry_g0yrko,gyrko,os-x-iron,form_d85e66,variant
form_d85e71,entry_g0yrko,gurko,os-x-digor,,
form_d86e66,entry_ælǧītyn,ælǧītyn,os,,
form_d87e66,entry_æʒællag,æʒællag,os,,
form_d88e66,entry_ændīʒyn,ændīʒyn,os,,
form_d88e68,entry_ændīʒyn,ændeʒun,os,form_d88e66,variant
form_d89e66,entry_xædbar,xædbar,os,,
form_d90e66,entry_ænsojnæ,ænsojnæ,os-x-digor,,
form_d90e68,entry_ænsojnæ,insojnæ,os-x-digor,form_d90e66,variant
form_d91e66,entry_rwajyn,rwajyn,os-x-iron,,
form_d91e68,entry_rwajyn,rwad,os-x-iron,form_d91e66,participle
form_d92e66,entry_xædax0yr,xædax˳yr,os,,
form_d93e66,entry_xærsæn,xærsæn,os,,
form_d94e66,entry_skʼamo,skʼamo,os,,
form_d95e66,entry_tæraz,tæraz,os,,
form_d96e66,entry_ævdasarm,ævdasarm,os,,
form_d97e66,entry_burkuʒaw,burkuʒaw,os,,
form_d98e66,entry_īnnæ,īnnæ,os,,
